Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
12,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,18-08-2008
37,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,20-08-2008
25,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),24-08-2008
54,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),27-08-2008
31,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),29-08-2008
2,2,0,0,100,7,not out,1,v Sri Lanka,Colombo (RPS),14-09-2009
30,41,3,0,73.17,4,caught,2,v Australia,Vadodara,25-10-2009
10,16,1,0,62.5,3,caught,2,v Australia,Mohali,02-11-2009
27,19,4,0,142.1,7,bowled,1,v Sri Lanka,Rajkot,15-12-2009
54,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,18-12-2009
107,114,11,1,93.85,4,caught,2,v Sri Lanka,Kolkata,24-12-2009
91,102,7,0,89.21,3,caught,2,v Bangladesh,Dhaka,07-01-2010
102,95,11,0,107.36,3,not out,2,v Bangladesh,Dhaka,11-01-2010
31,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,21-02-2010
57,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,27-02-2010
0,0,0,0,0,3,run out,1,v Zimbabwe,Bulawayo,28-05-2010
18,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,03-06-2010
10,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,22-06-2010
28,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,24-06-2010
0,3,0,0,0,3,caught,2,v Sri Lanka,Dambulla,16-08-2010
37,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla,28-08-2010
118,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam,20-10-2010
105,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati,28-11-2010
64,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur,01-12-2010
63,70,6,2,90,3,not out,2,v New Zealand,Vadodara,04-12-2010
0,2,0,0,0,3,caught,2,v New Zealand,Bengaluru,07-12-2010
2,8,0,0,25,3,caught,2,v New Zealand,Chennai,10-12-2010
54,70,2,1,77.14,3,caught,2,v South Africa,Durban,12-01-2011
22,34,1,0,64.7,3,run out,1,v South Africa,Johannesburg,15-01-2011
28,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,18-01-2011
87,92,7,2,94.56,3,not out,2,v South Africa,Port Elizabeth,21-01-2011
2,6,0,0,33.33,3,caught,2,v South Africa,Centurion,23-01-2011
